,ID,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,Monthly_Payment,Age_Group,Risk_Score
count,1000.0,1000.0,1000,1000.0,1000,817,606,1000.0,1000.0,1000,1000,1000.0,1000,1000.0
unique,,,2,,3,4,3,,,8,2,,4,
top,,,male,,own,little,little,,,car,good,,Early Career (25-35),
freq,,,690,,713,603,274,,,337,700,,398,
mean,499.5,35.546,,1.904,,,,3271.258,20.903,,,167.68702044502976,,0.851
std,288.8194360957494,11.375468574317512,,0.6536139619157559,,,,2822.7368759604406,12.058814452756375,,,153.49095901567532,,0.876108764119254
min,0.0,19.0,,0.0,,,,250.0,4.0,,,24.055555555555557,,0.0
25%,249.75,27.0,,2.0,,,,1365.5,12.0,,,89.60000000000001,,0.0
50%,499.5,33.0,,2.0,,,,2319.5,18.0,,,130.33333333333331,,1.0
75%,749.25,42.0,,2.0,,,,3972.25,24.0,,,206.18333333333334,,1.0
max,999.0,75.0,,3.0,,,,18424.0,72.0,,,2482.6666666666665,,3.0
